date,symbol,high,low,close,open
2022-10-14,VN30F2210,1067.00,1043.70,1048.00,1060.00
2022-10-17,VN30F2210,1050.00,1017.40,1050.00,1036.00
2022-10-18,VN30F2210,1069.80,1048.90,1057.90,1055.10
2022-10-19,VN30F2210,1059.50,1045.50,1053.00,1058.70
2022-10-20,VN30F2210,1059.70,1039.70,1058.00,1045.20
2022-10-21,VN30F2211,1038.80,981.60,985.00,1038.60
2022-10-24,VN30F2211,996.00,930.20,942.00,995.50
2022-10-25,VN30F2211,985.00,932.10,961.00,940.00
2022-10-26,VN30F2211,976.60,954.40,967.50,970.00
2022-10-27,VN30F2211,1025.00,972.10,1025.00,975.50
2022-10-28,VN30F2211,1036.90,1013.60,1016.00,1027.20
2022-10-31,VN30F2211,1027.90,984.30,1024.00,1023.80
2022-11-01,VN30F2211,1047.00,1018.00,1018.00,1030.10
2022-11-02,VN30F2211,1028.80,1003.00,1021.00,1015.10
2022-11-03,VN30F2211,1024.00,1001.10,1001.10,1011.00
2022-11-04,VN30F2211,996.20,958.10,980.00,995.20
2022-11-07,VN30F2211,991.00,950.00,950.00,980.20
2022-11-08,VN30F2211,985.50,935.00,972.10,945.10
2022-11-09,VN30F2211,988.00,955.50,959.00,976.90
2022-11-10,VN30F2211,959.60,905.40,912.80,951.00
2022-11-11,VN30F2211,959.80,930.50,938.00,934.10
2022-11-14,VN30F2211,938.00,912.70,932.00,934.00
2022-11-15,VN30F2211,926.90,884.60,895.00,926.00
2022-11-16,VN30F2211,957.60,860.60,957.60,876.10
2022-11-17,VN30F2211,973.80,950.20,972.50,953.00
2022-11-18,VN30F2212,975.50,938.50,963.00,960.10
2022-11-21,VN30F2212,971.00,938.20,938.20,969.30
2022-11-22,VN30F2212,990.00,926.00,926.00,933.00
2022-11-23,VN30F2212,948.00,915.80,924.10,933.00
2022-11-24,VN30F2212,939.80,918.00,938.90,921.00
2022-11-25,VN30F2212,967.00,945.30,969.00,946.50
2022-11-28,VN30F2212,1008.00,972.40,993.70,975.00
2022-11-29,VN30F2212,1015.50,986.60,1015.50,992.30
2022-11-30,VN30F2212,1031.30,1009.70,1027.90,1020.00
2022-12-01,VN30F2212,1059.80,1029.00,1029.00,1041.00
2022-12-02,VN30F2212,1101.00,1025.00,1101.00,1029.00
2022-12-05,VN30F2212,1128.00,1086.70,1104.00,1108.00
2022-12-06,VN30F2212,1103.00,1046.00,1046.00,1103.00
2022-12-07,VN30F2212,1062.20,1034.10,1053.30,1040.00
2022-12-08,VN30F2212,1105.50,1051.50,1055.00,1052.80
2022-12-09,VN30F2212,1084.00,1046.10,1070.00,1058.80
2022-12-12,VN30F2212,1074.30,1035.20,1035.20,1070.00
2022-12-13,VN30F2212,1058.00,1026.00,1058.00,1039.40
2022-12-14,VN30F2212,1071.30,1048.50,1059.60,1068.00
2022-12-15,VN30F2212,1079.00,1056.60,1065.10,1059.40
2022-12-16,VN30F2301,1076.00,1053.80,1060.00,1059.20
2022-12-19,VN30F2301,1076.00,1045.00,1045.00,1053.30
2022-12-20,VN30F2301,1044.00,1006.30,1027.00,1041.50
2022-12-21,VN30F2301,1039.00,1009.00,1037.00,1030.00
2022-12-22,VN30F2301,1045.60,1026.00,1037.70,1043.50
2022-12-23,VN30F2301,1045.00,1016.20,1034.80,1031.10
2022-12-26,VN30F2301,1032.00,991.30,986.40,1030.30
2022-12-27,VN30F2301,1011.00,982.10,1001.00,990.00
2022-12-28,VN30F2301,1017.90,990.90,1008.00,998.00
2022-12-29,VN30F2301,1014.50,999.60,993.00,1003.00
2022-12-30,VN30F2301,1010.30,995.20,1004.50,997.90
2023-01-03,VN30F2301,1045.50,999.80,1045.50,999.80
2023-01-04,VN30F2301,1054.20,1038.50,1042.70,1046.10
2023-01-05,VN30F2301,1061.00,1043.20,1053.80,1045.00
2023-01-06,VN30F2301,1068.00,1046.00,1051.00,1053.50
2023-01-09,VN30F2301,1064.00,1050.00,1053.60,1059.00
2023-01-10,VN30F2301,1062.80,1047.40,1056.60,1051.10
2023-01-11,VN30F2301,1073.00,1060.60,1062.70,1061.90
2023-01-12,VN30F2301,1069.10,1056.20,1065.20,1067.00
2023-01-13,VN30F2301,1075.70,1062.20,1069.10,1071.00
2023-01-16,VN30F2301,1075.80,1064.20,1075.20,1070.70
2023-01-17,VN30F2301,1107.40,1078.50,1107.00,1080.00
2023-01-18,VN30F2301,1122.40,1103.60,1117.30,1103.60
2023-01-19,VN30F2301,1124.00,1112.80,1121.00,1114.40
2023-01-27,VN30F2302,1145.80,1122.30,1127.00,1138.90
2023-01-30,VN30F2302,1129.00,1109.80,1109.80,1125.00
2023-01-31,VN30F2302,1126.90,1097.50,1125.00,1108.40
2023-02-01,VN30F2302,1130.60,1084.50,1088.50,1129.90
2023-02-02,VN30F2302,1101.30,1076.20,1088.00,1090.00
2023-02-03,VN30F2302,1093.50,1080.00,1081.90,1093.50
2023-02-06,VN30F2302,1095.10,1068.50,1090.60,1078.00
2023-02-07,VN30F2302,1093.90,1062.10,1067.30,1091.10
2023-02-08,VN30F2302,1084.00,1065.50,1072.00,1070.00
2023-02-09,VN30F2302,1077.00,1057.00,1057.00,1068.60
2023-02-10,VN30F2302,1059.00,1044.10,1045.00,1056.90
2023-02-13,VN30F2302,1046.00,1021.60,1038.60,1042.90
2023-02-14,VN30F2302,1041.00,1026.10,1030.90,1041.00
2023-02-15,VN30F2302,1051.00,1027.60,1037.00,1031.00
2023-02-16,VN30F2302,1053.70,1038.60,1052.30,1041.00
2023-02-17,VN30F2303,1052.60,1040.50,1049.00,1051.00
2023-02-20,VN30F2303,1091.00,1049.90,1088.00,1050.00
2023-02-21,VN30F2303,1092.70,1076.10,1076.10,1089.60
2023-02-22,VN30F2303,1070.60,1043.80,1043.80,1064.80
2023-02-23,VN30F2303,1048.00,1025.00,1048.00,1045.80
2023-02-24,VN30F2303,1047.70,1012.10,1020.00,1045.00
2023-02-27,VN30F2303,1020.00,1003.10,1011.00,1017.40
2023-02-28,VN30F2303,1022.80,1005.70,1008.00,1014.50
2023-03-01,VN30F2303,1035.00,998.10,1032.00,1003.60
2023-03-02,VN30F2303,1036.00,1020.10,1024.00,1031.00
2023-03-03,VN30F2303,1032.10,1005.20,1005.20,1028.00
2023-03-06,VN30F2303,1036.00,1010.00,1010.00,1013.60
2023-03-07,VN30F2303,1041.00,1018.60,1027.90,1020.00
2023-03-08,VN30F2303,1038.00,1013.60,1038.00,1017.00
2023-03-09,VN30F2303,1057.80,1036.00,1050.70,1042.70
2023-03-10,VN30F2303,1049.80,1031.10,1049.80,1042.90
2023-03-13,VN30F2303,1054.70,1043.00,1048.00,1043.50
2023-03-14,VN30F2303,1047.20,1032.60,1037.90,1043.80
2023-03-15,VN30F2303,1069.00,1051.30,1063.00,1051.30
2023-03-16,VN30F2303,1059.50,1041.10,1043.00,1058.00
2023-03-17,VN30F2304,1057.80,1041.20,1045.10,1056.30
2023-03-20,VN30F2304,1040.10,1017.10,1022.40,1040.00
2023-03-21,VN30F2304,1031.50,1013.00,1030.50,1028.00
2023-03-22,VN30F2304,1041.50,1030.60,1034.50,1038.10
2023-03-23,VN30F2304,1039.90,1027.00,1038.90,1027.00
2023-03-24,VN30F2304,1054.00,1041.20,1043.10,1041.90
2023-03-27,VN30F2304,1052.50,1040.60,1047.30,1045.50
2023-03-28,VN30F2304,1060.00,1050.10,1051.50,1052.60
2023-03-29,VN30F2304,1056.00,1048.50,1056.00,1049.80
2023-03-30,VN30F2304,1067.30,1060.80,1064.50,1060.90
2023-03-31,VN30F2304,1075.40,1064.50,1066.00,1064.50
2023-04-03,VN30F2304,1085.00,1077.00,1083.00,1082.00
2023-04-04,VN30F2304,1085.50,1078.30,1080.20,1085.00
2023-04-05,VN30F2304,1084.10,1077.40,1084.10,1081.80
2023-04-06,VN30F2304,1086.70,1073.00,1073.00,1083.80
2023-04-07,VN30F2304,1076.00,1068.00,1075.10,1076.00
2023-04-10,VN30F2304,1079.50,1070.60,1072.80,1075.50
2023-04-11,VN30F2304,1078.50,1065.20,1076.00,1070.00
2023-04-12,VN30F2304,1077.90,1071.00,1075.00,1077.90
2023-04-13,VN30F2304,1075.00,1069.70,1070.00,1074.50
2023-04-14,VN30F2304,1074.80,1063.10,1063.10,1072.00
2023-04-17,VN30F2304,1064.80,1057.80,1064.50,1063.50
2023-04-18,VN30F2304,1065.50,1060.10,1063.00,1065.40
2023-04-19,VN30F2304,1063.70,1053.30,1055.00,1063.00
2023-04-20,VN30F2304,1055.40,1048.60,1053.90,1055.00
2023-04-21,VN30F2305,1047.80,1040.00,1040.00,1047.80
2023-04-24,VN30F2305,1047.40,1036.90,1040.90,1038.00
2023-04-25,VN30F2305,1044.30,1030.50,1030.70,1042.00
2023-04-26,VN30F2305,1037.70,1025.60,1037.50,1028.90
2023-04-27,VN30F2305,1039.20,1032.40,1035.00,1036.40
2023-04-28,VN30F2305,1044.00,1037.30,1042.50,1039.00
2023-05-04,VN30F2305,1042.50,1031.00,1035.00,1041.90
2023-05-05,VN30F2305,1035.90,1030.50,1033.50,1032.10
2023-05-08,VN30F2305,1042.50,1036.30,1041.80,1037.50
